"n","d","d_label","weight_label","a_w","b_w","prior","reject_rate","mean_ev","mean_k_star","sd_k_star"
100,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0,0.843366661988132,0.134650804765572,0.0720403988075838
100,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0,0.843366661988132,0.0767818959920083,0.048174189439474
100,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.233333333333333,0.812436526127833,0.658043323583404,0.179359139123737
100,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0,0.812436526127833,0.114232758468336,0.0848321435539834
100,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0,0.812436526127833,0.0447059979035278,0.0389432268019495
150,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Non-informative",0.333333333333333,0.648316201116439,0.445463869699018,0.152320396538428
150,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Non-informative",0.0666666666666667,0.648316201116439,0.0455678982380354,0.0352001857190455
150,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Non-informative",0.0333333333333333,0.648316201116439,0.013505253687498,0.00986379203143375
150,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.3,0.736999668284862,0.672311262234423,0.113819417417545
150,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0.0666666666666667,0.736999668284862,0.101292718982123,0.0674626091006653
150,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0.0333333333333333,0.736999668284862,0.0614538439691315,0.035821781277354
150,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.433333333333333,0.710655814704456,0.61991140468721,0.218457393653328
150,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0.0333333333333333,0.710655814704456,0.112534144384169,0.0764381887754205
150,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0.0333333333333333,0.710655814704456,0.053020313962269,0.0374108446416661
30,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Non-informative",0.333333333333333,0.653067046285611,0.491933862301041,0.168596834350431
30,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Non-informative",0.0333333333333333,0.653067046285611,0.0451128276851677,0.0308707695296344
30,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Non-informative",0,0.653067046285611,0.0106912513717067,0.00871118963973912
30,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.566666666666667,0.878864153774069,0.889220449214376,0.0726957013554541
30,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0,0.878864153774069,0.287391113469402,0.179481036484109
30,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0,0.878864153774069,0.260089375790356,0.159946930841077
30,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.4,0.81323888944464,0.815705370354557,0.152964391413614
30,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0,0.81323888944464,0.100704584565522,0.0864658864153853
30,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0,0.81323888944464,0.0749826490656518,0.0632971422463613
50,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Non-informative",0.366666666666667,0.545984122222607,0.411590462920633,0.148137155106866
50,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Non-informative",0.0666666666666667,0.545984122222607,0.0539542400520337,0.0363226697739642
50,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Non-informative",0.0666666666666667,0.545984122222607,0.013983855181573,0.0111350320904592
50,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.6,0.762343489161383,0.825417816929804,0.0987906181889046
50,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0.0666666666666667,0.762343489161383,0.248314538578797,0.115988720861908
50,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0,0.762343489161383,0.187616913814353,0.103153950405927
50,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.533333333333333,0.694213204836376,0.759537391407222,0.144954973242335
50,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0.0333333333333333,0.694213204836376,0.122762579879932,0.0598077088727546
50,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0,0.694213204836376,0.0778304991357603,0.048632155225528
75,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Non-informative",0.7,0.362917432143281,0.406060171017,0.1258062451164
75,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Non-informative",0.266666666666667,0.362917432143281,0.0676295003463403,0.0339885862646613
75,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Non-informative",0.133333333333333,0.362917432143281,0.0255497968329112,0.0164578973805198
75,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.766666666666667,0.572785548823545,0.761478900582099,0.103287932311984
75,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0.2,0.572785548823545,0.20607071916072,0.117382415776571
75,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0.1,0.572785548823545,0.114869167824481,0.0599192772314243
75,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.733333333333333,0.509875687703044,0.748747841715022,0.175276224871919
75,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0.0666666666666667,0.509875687703044,0.109724261794512,0.0811608801864428
75,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0,0.509875687703044,0.0562463103047961,0.0405435830046206
100,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Non-informative",0.533333333333333,0.458443788979008,0.434795641966057,0.150883382212483
100,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Non-informative",0.2,0.458443788979008,0.0531850061668805,0.0316903978239185
100,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Non-informative",0.0666666666666667,0.458443788979008,0.0156689874671568,0.0154084790659473
100,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.6,0.604747757245623,0.693728040904035,0.0978254193472607
100,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0.166666666666667,0.604747757245623,0.165846725693634,0.0818521673271316
100,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0.0666666666666667,0.604747757245623,0.0967234756882929,0.0556741412457943
100,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.566666666666667,0.563206326078782,0.653647779726879,0.175886937285953
100,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0.1,0.563206326078782,0.110792544024463,0.0788241618626647
100,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0,0.563206326078782,0.050512527339305,0.0384001981430714
150,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Non-informative",0.7,0.270471162215598,0.33751046843318,0.157115960592131
150,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Non-informative",0.433333333333333,0.270471162215598,0.0695900895411117,0.0369634221999196
150,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Non-informative",0.3,0.270471162215598,0.021744493014249,0.0160582524671182
